company_name,company_type,company_size,job_Name,employee_type,edu_level,working_year,salary,job_url
武汉市陆刻科技有限公司,民营,20-99人,软件开发工程师,全职,本科,3-5年,10K-20K,https://jobs.zhaopin.com/CC430971187J00403520707.htm
纬创软件 (武汉),港澳台公司,1000-9999人,Python开发工程师（武汉）,全职,本科,1-3年,7K-10K,https://jobs.zhaopin.com/CC120817715J00106130411.htm
华为技术有限公司,民营,10000人以上,C/C++/Java/Python软件开发工程师,全职,本科,不限,薪资面议,https://jobs.zhaopin.com/CC000542945J00397002005.htm
纬创软件 (武汉),港澳台公司,1000-9999人,Python开发工程师,全职,本科,1-3年,8K-10K,https://jobs.zhaopin.com/CC120817715J00074959411.htm
北京林枫科技有限公司,股份制企业,100-499人,Java+Python人工智能实习生,全职,大专,不限,5K-8K,https://jobs.zhaopin.com/CC275971580J00166277710.htm
湖北爱康博为医疗管理有限公司,民营,100-499人,Python,全职,学历不限,不限,8K-10K,https://jobs.zhaopin.com/CC201426236J00130841308.htm
大连东软睿道教育信息服务有限公司,民营,1000-9999人,Python/Java体验课讲师,全职,本科,3-5年,15K-20K,https://jobs.zhaopin.com/CC533963426J00325072007.htm
鼎蓝水务工程技术(北京)有限公司,股份制企业,20-99人,Python软件工程师,全职,本科,1-3年,6K-12K,https://jobs.zhaopin.com/CC695672926J00131148613.htm
北京优炫软件股份有限公司,上市公司,500-999人,开发工程师Python(管培生）,全职,本科,不限,3.5K-6K,https://jobs.zhaopin.com/CC311459214J00114521011.htm
上海傲梦网络科技有限公司,民营,500-999人,python编程老师,全职,本科,不限,5K-10K,https://jobs.zhaopin.com/CC627469020J00412631107.htm
北京容联易通信息技术有限公司,民营,1000-9999人,python开发工程师,全职,本科,3-5年,10K-15K,https://jobs.zhaopin.com/CC264221714J00174405715.htm
上海罗盘信息科技有限公司,民营,100-499人,python开发工程师-武汉,全职,本科,1-3年,8K-15K,https://jobs.zhaopin.com/CC149520317J00332861208.htm
武汉小果科技有限公司,民营,20-99人,python后台开发工程师,全职,本科,1-3年,8K-16K,https://jobs.zhaopin.com/CZ729784700J00081626307.htm
深圳市凹凸微科科技有限公司,民营,100-499人,Python工程师,全职,大专,1-3年,8K-10K,https://jobs.zhaopin.com/CC238749137J00434693401.htm
北京天盛京享科技有限公司,民营,20-99人,python工程师（区块链）,全职,本科,3-5年,20K-40K,https://jobs.zhaopin.com/CC839864870J00177423013.htm
上海湃睿信息科技有限公司,民营,100-499人,python高级开发工程师,全职,本科,3-5年,10K-15K,https://jobs.zhaopin.com/CC171427216J00253800602.htm
武汉找道科技有限公司,民营,20-99人,python后端开发实习生,实习,本科,不限,5K-8K,https://jobs.zhaopin.com/CZ580087280J00433356901.htm
武汉市星商电子商务有限公司,民营,500-999人,Python开发主管,全职,本科,5-10年,15K-20K,https://jobs.zhaopin.com/CC877351700J00401042803.htm
武汉尚仕杰企业管理顾问有限公司,民营,20-99人,python后端开发,全职,本科,不限,10K-15K,https://jobs.zhaopin.com/573261525250091.htm
武汉找道科技有限公司,民营,20-99人,python后端工程师,全职,本科,3-5年,7K-10K,https://jobs.zhaopin.com/CZ580087280J00418616301.htm
上海湃睿信息科技有限公司,民营,100-499人,python开发工程师,全职,本科,1-3年,8K-10K,https://jobs.zhaopin.com/CC171427216J00111755302.htm
山东中磁视讯股份有限公司,民营,100-499人,python 研发工程师,全职,大专,1-3年,6K-8K,https://jobs.zhaopin.com/CC204576627J00397990707.htm
哈尔滨安天科技集团股份有限公司,股份制企业,100-499人,Python开发工程师,全职,学历不限,不限,14K-18K,https://jobs.zhaopin.com/CC190132722J00462084201.htm
北京云族佳科技有限公司,民营,100-499人,高级python开发工程师,全职,本科,3-5年,15K-20K,https://jobs.zhaopin.com/CC599223521J00107300909.htm
深圳市星商电子商务有限公司,民营,1000-9999人,Python爬虫工程师(武汉),全职,大专,1-3年,8K-15K,https://jobs.zhaopin.com/CC463581515J00250364208.htm
深圳市云间网络科技有限公司,合资,20-99人,python,全职,本科,1-3年,6K-8K,https://jobs.zhaopin.com/CC633243530J00285914602.htm
