job,describe
python开发工程师-武汉,"职位描述技能要求：Python岗位要求1.全日制本科及以上学历，计算机类相关专业，2年以上python后端项目实际工作经验； 2.对于主流的数据库(Oracle/Mysql/Postgresql,Mongodb,redis等)有实际的项目使用经验； 3.掌握至少一种web开发框架，包括但不限于Django、Flask、Tornado； 4.熟悉各种Linux发行版，有项目部署经验，能够编写shell脚本，熟悉git版本管理工具； 5.熟练使用Python标准库，熟悉sqlalchemy、celery、requests、numpy、pandas等第三方库； 6.熟悉python爬虫框架, 有项目经验更佳； 7.沟通能力，自学能力强，有强烈的求知欲，有独立解决分析、解决问题的能力，良好的团队合作意识； 8.无障碍阅读英文文档；岗位职责1.参与项目的系统分析和详细设计，负责或参与业务单元核心业务功能与底层基础功能的功能设计、代码实现与单元测试；2.参与设计所负责产品模块的前后台技术框架和实现方案，独立完成新功能新模块的开发，学习和研究新技术以不断满足新的产品需求；3.持续提升输出产品的质量、性能和稳定性并进行优化；4.有良好的质量意识及代码规范，保证单元测试质量，并完成设计优化及性能优化；5.与公司内部与外部的团队对接，封装第三方接口供团队内部调用。加分项使用过 docker，swarm, kubernetes 等容器技术;了解微服务架构或者搭建过类似系统;有大数据相关项目经验；有自己的开源项目；有自己的技术博客；  "
Python软件工程师,职位描述岗位职责：1、负责Python语言的代码编写与调试；2、负责云平台的后台服务接口开发和数据库的设计和维护；3、负责软件开发相关文档的整理与编写；4、负责就本职工作范围内的相关问题与其他部门和公司其他工作人员沟通与协调；任职要求：1、计算机、软件工程或自动化等相关专业毕业，全日制统招本科及以上学历，三年以上工作经验者优先；2、具有扎实的Python语言基础，熟悉Flask、Django等Python Web框架之一，熟悉git等代码管理工具，有多线程、Socket开发经验者优先；3、具备良好的数据库技术和SQL语言基础，熟悉SQL Server、Oracle、mySQL等数据库系统中的一种，了解Redis、MongoDB等NoSQL数据库，有丰富的数据库设计和SQL优化经验者优先；4、从事过企业级软件平台开发，了解GIS或地图技术，有智慧城市、海绵城市、给水排水等信息化系统开发经验者优先；5、良好的逻辑思维及沟通协作能力，简洁规范的代码风格，能独立高效地完成开发任务。
Java+Python人工智能实习生,职位描述报名条件：1、大专及以上学历，21-33岁，应往届毕业生；2、理工科专业优先，包括计算机、软件、电气、机械、土建、统计等；3、对大数据开发有着浓厚的兴趣，并有决心从事软件开发工作者；福利待遇：1、签订正式劳动合同，享受五险一金，双休；2、可提供住宿。岗位职责：1、参与公司数据采集、碰撞分析相关产品研发及维护；2、参与大数据平台的搭建、开发与维护工作；
Python/Java体验课讲师,职位描述1、配合市场营销需求，能够进行相关技术专题讲座，提升公司品牌效应；2、根据销售渠道的招生需要，配合教学总监制定相关实训课程计划、项目实训方案，并能高质量完成短期实训的体验授课任务；3、积极主动研究新技术方向，参与部门内训，保持技术先进性；4、配合教研员完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作。任职要求：1、热爱教育行业，喜欢教师职业，热情、细心，有团队合作精神能够承受工作压力；2、深入了解IT行业发展前景，熟悉各类技术应用背景，跟踪新技术发展方向；3、能够根据需要讲授Python或Java方向课程，有自己的教学特点
Python开发工程师（武汉）,职位描述技能要求：PythonPHPC++java1、掌握PHP或Python2、熟悉MySQL和Redis3、熟悉Linux开发环境和Shell脚本4、扎实的编码能力，有良好的计算机网络、数据结构和算法基础5、良好的编码习惯和技术文档编写能力加分项：熟悉C++，Java一种开发语言及开发框架；有Go语言开发经验，了解Echo、Beego等技术框架。要求：本科学历，2年以上工作年限，有相关后端开发经验优先。
C/C++/Java/Python软件开发工程师,职位描述技能要求：Python图像处理Cjava嵌入式华为武汉研究所现对外招聘开发类工程师：1、精通C/C++或python，Java中任一编程语言（在招岗位含有：软件，嵌入式，算法，AI，光通信等）；2、全日制一本本科或硕士以上；3、至少1年及以上工作经验。详细需求可电话或当面沟通。简历发至华为武汉研究所官方社招邮箱：**********************  请直接发简历至邮箱！
Python工程师,"职位描述工作职责：1、参与产品python后端研发；2、参与产品后端脚本研发；3、编写设计文档报告等；岗位需求：任职要求：1. 2年大专以上python开发经验；2. 熟悉基本前端技术html+css, javascript,了解过anjularjs更佳；2. 数据库: postgresql, mysql , redis；3. 熟练框架django/flask, 有过restApi开发实战经验；4. 熟练linux基本命令, 能独立搭建开发部署环境；5. 熟悉python爬虫框架, 有项目经验更佳.项目: 商城类博客类有点冗余但不排斥, 做过系统监控类项目, 或其他, 犹佳。"
开发工程师Python(管培生）,职位描述岗位职责：1.负责DevOps平台产品开发工作（开发工具，对接平台接口，参与平台工具脚本的编写）；2.能够完成面向客户的技术交流、方案编写，并能与客户就相关问题进行直接深入沟通；3.能够了解客户业务需求，提供解决方案及技术建议方案；4.针对公司产品能在技术层面向客户进行讲解和培训；5.撰写技术支持文档或功能使用文档，配合新产品测试，提供测试反馈；6.协助平台需求分析及实施方案设计、负责产品的场景化定制与开发。  任职要求： 1. 有相关开发经验或基础，精通一门以上脚本语言（shell/perl/python等），熟悉java/C/C++等开发语言一种及以上；至少熟练使用shell、python编程语言，有实际项目经验者优先。 2. 熟悉多种开源组件：Nginx、RabbitMQ、MongoDB、Redis、Mysql/SQL等； 3. 熟悉数据库及相关操作； 4. 具有运维开发或者运维平台建设经验者优先考虑 5. 熟悉Linux系统管理维护，熟悉HTTP协议、TCP/IP网络协议； 6 有云平台运维经验者优先（阿里云、AWS 等）、熟悉 Docker 容器技术者优先 7.客户现场支持需要短期出差，有出差补助等福利补偿 8.2019届应届毕业生优先 
Python,"职位描述任职资格：1、有扎实的编程功底,丰富的Python的实际工作经验,熟悉常用的开源库Django、Flask、Numpy、Pandas、Scipy等；2、熟悉linux,有良好的数据结构和算法基础；3、熟悉数据库并有优化经验,熟练掌握SQL,熟悉MPP、Oracle、MySQL、Redis、Memcache中一种或多种；4、具备良好的识别和设计通用框架及模块的能力；5、具备TensorFlow框架开发经验；6、能够承担工作压力,具备创新思维、具备团队协作精神；7、有数据挖掘建模经验尤佳；岗位职责：1、负责产品研发；2、负责高质量的设计和编码；3、承担重点、难点的技术攻坚；4、参与产品讨论和开发实现；公司地址：光谷金融港"
python后端开发,职位描述岗位职责：1.参与公司产品的后端系统业务代码的设计与编写；2.构建公司的后端基础设施和服务架构；3.参与公司重要产品的技术决策和技术选型。任职要求：1.熟悉Python编程语言（拥有其他语言的丰富经验也可），熟悉后端开发的相关领域知识；2.拥有2年以上后端领域研发经验，1年以上使用Python进行后端程序研发的经验；3.熟练使用*nix类系统；4.已经熟练MySQL、Redis、Django、Thrift、celery等一些重要组件的小伙伴加大分；5.有大型系统维护经验的小伙伴加大分，熟悉高大上开发流程的小伙伴加大分；6.计算机相关专业并且自己主动拜读过相关知识领域经典书籍的小伙伴加分； 有ACM、TopCoder等类似比赛的经历的小伙伴加分；7.有代码洁癖的小伙伴加分；8.总之就是靠谱的好攻城狮，加分加分加分！
